股票代码,股票名称,当日股价,当日涨跌幅,操作策略,持有天数,持有期间总收益率,回测期间总收益率
sh.600000,浦发银行,14.17,-0.42,观望,0,0.0,0.0
sh.600004,白云机场,9.15,0.88,持有,28,-2.87,10.59
sh.600006,东风股份,7.16,-0.14,观望,0,0.0,0.0
sh.600009,上海机场,31.69,0.32,观望,0,0.0,0.0
sh.600008,首创环保,3.08,-0.32,观望,0,0.0,0.0
sh.600007,中国国贸,20.68,0.1,持有,15,-4.35,71.64
sh.600011,华能国际,7.44,-1.06,观望,0,0.0,0.0
sh.600010,包钢股份,1.82,-1.09,观望,0,0.0,0.0
sh.600015,华夏银行,8.44,0.96,观望,0,0.0,0.0
sh.600012,皖通高速,17.34,1.94,持有,29,-1.08,112.59
sh.600016,民生银行,5.27,0.0,持有,14,9.11,27.65
sh.600017,日照港,3.22,1.26,持有,23,3.21,43.02
sh.600018,上港集团,5.76,-0.35,持有,8,0.35,18.71
sh.600020,中原高速,4.96,1.64,持有,28,-0.4,69.31
sh.600021,上海电力,9.08,-0.87,观望,0,0.0,0.0
sh.600023,浙能电力,5.22,-7.45,观望,0,0.0,0.0
sh.600022,山东钢铁,1.43,2.14,观望,0,0.0,0.0
sh.600027,华电国际,5.59,-1.24,观望,0,0.0,0.0
sh.600019,宝钢股份,7.05,-1.54,观望,0,0.0,0.0
sh.600025,华能水电,9.55,-0.31,持有,40,-5.16,5.73
sh.600026,中远海能,10.26,-0.1,持有,9,-0.68,-20.97
sh.600028,中国石化,5.68,0.0,持有,15,0.18,16.95
sh.600030,中信证券,27.81,-0.75,观望,0,0.0,0.0
sh.600029,南方航空,5.75,0.17,持有,1,0.17,8.36
sh.600031,三一重工,19.11,0.21,观望,0,0.0,0.0
sh.600032,浙江新能,7.8,0.26,观望,0,0.0,0.0
sh.600033,福建高速,3.59,0.0,观望,0,0.0,0.0
sh.600036,招商银行,47.13,-1.03,持有,8,1.46,51.29
sh.600039,四川路桥,9.48,-0.73,持有,6,0.85,17.87
sh.600035,楚天高速,4.39,0.69,持有,42,-2.88,41.5
sh.600038,中直股份,38.21,-0.47,观望,0,0.0,0.0
sh.600037,歌华有线,7.73,0.26,持有,16,3.34,36.68
sh.600050,中国联通,5.43,0.93,观望,0,0.0,0.0
sh.600048,保利发展,8.15,-0.85,观望,0,0.0,0.0
sh.600057,厦门象屿,7.38,1.37,持有,22,6.34,-3.47
sh.600053,九鼎投资,15.71,0.96,持有,2,4.04,101.09
sh.600052,东望时代,4.76,3.25,观望,0,0.0,0.0
sh.600054,黄山旅游,11.67,0.17,观望,0,0.0,0.0
sh.600055,万东医疗,17.3,-0.35,观望,0,0.0,0.0
sh.600056,中国医药,10.49,-0.1,观望,0,0.0,0.0
sh.600051,宁波联合,7.51,0.0,观望,0,0.0,0.0
sh.600059,古越龙山,10.46,-0.38,持有,23,-1.88,42.27
sh.600058,五矿发展,7.8,-0.13,观望,0,0.0,0.0
sh.600063,皖维高新,4.82,-1.83,观望,0,0.0,0.0
sh.600062,华润双鹤,18.78,-0.21,观望,0,0.0,0.0
sh.600064,南京高科,7.91,0.38,观望,0,0.0,0.0
sh.600060,海信视像,23.64,-1.42,观望,0,0.0,0.0
sh.600061,国投资本,7.69,1.05,观望,0,0.0,0.0
sh.600066,宇通客车,26.01,-1.03,观望,0,0.0,0.0
sh.600067,冠城新材,3.07,0.99,观望,0,0.0,0.0
sh.600072,中船科技,12.91,-1.68,观望,0,0.0,0.0
sh.600071,凤凰光学,21.08,-0.05,持有,36,1.59,-40.74
sh.600076,康欣新材,2.5,-0.4,观望,0,0.0,0.0
sh.600078,澄星股份,5.74,-1.2,卖出,2,2.5,-47.73
sh.600082,海泰发展,4.0,-0.99,观望,0,0.0,0.0
sh.600073,光明肉业,7.32,1.39,持有,15,-3.3,22.29
sh.600089,特变电工,12.46,-1.11,观望,0,0.0,0.0
sh.600080,金花股份,7.24,0.0,持有,23,1.83,2.21
sh.600081,东风科技,13.1,0.38,观望,0,0.0,0.0
sh.600095,湘财股份,12.08,6.9,观望,0,0.0,0.0
sh.600094,大名城,3.22,0.94,观望,0,0.0,0.0
sh.600075,新疆天业,4.35,-0.68,观望,0,0.0,0.0
sh.600088,中视传媒,15.95,0.0,持有,16,1.79,201.17
sh.600084,中信尼雅,5.6,0.18,观望,0,0.0,0.0
sh.600079,人福医药,21.11,-0.33,观望,0,0.0,0.0
sh.600085,同仁堂,35.57,-0.17,持有,30,-5.62,7.11
sh.600096,云天化,22.39,-0.58,观望,0,0.0,0.0
sh.600100,同方股份,7.14,-0.42,观望,0,0.0,0.0
sh.600098,广州发展,6.61,0.3,持有,19,1.23,35.49
sh.600097,开创国际,10.45,-1.42,观望,0,0.0,0.0
sh.600103,青山纸业,2.29,0.88,观望,0,0.0,0.0
sh.600099,林海股份,11.07,0.09,持有,41,2.03,71.3
sh.600104,上汽集团,17.23,-1.37,观望,0,0.0,0.0
sh.600107,ST尔雅,3.95,1.54,观望,0,0.0,0.0
sh.600106,重庆路桥,6.09,-1.93,持有,21,-4.25,-42.4
sh.600105,永鼎股份,8.93,0.11,观望,0,0.0,0.0
sh.600101,明星电力,11.16,-0.71,观望,0,0.0,0.0
sh.600110,诺德股份,5.92,-4.98,持有,2,-2.31,-41.15
sh.600109,国金证券,9.02,-1.96,观望,0,0.0,0.0
sh.600108,亚盛集团,2.98,-0.67,观望,0,0.0,0.0
sh.600114,东睦股份,20.71,-1.47,观望,0,0.0,0.0
sh.600111,北方稀土,24.55,-1.37,持有,16,1.95,20.27
sh.600113,浙江东日,28.8,1.05,观望,0,0.0,0.0
sh.600115,中国东航,3.82,-0.26,持有,2,0.0,21.65
sh.600116,三峡水利,6.93,-0.43,观望,0,0.0,0.0
sh.600117,西宁特钢,2.35,0.0,观望,0,0.0,0.0
sh.600118,中国卫星,27.84,-1.31,观望,0,0.0,0.0
sh.600121,郑州煤电,4.12,0.98,观望,0,0.0,0.0
sh.600120,浙江东方,6.2,2.48,持有,2,4.73,-1.47
sh.600123,兰花科创,6.66,0.45,观望,0,0.0,0.0
sh.600125,铁龙物流,5.76,0.17,观望,0,0.0,0.0
sh.600119,长江投资,8.28,-1.66,卖出,23,-5.37,62.61
sh.600127,金健米业,6.94,-0.86,观望,0,0.0,0.0
sh.600128,苏豪弘业,10.99,0.83,观望,0,0.0,0.0
sh.600133,东湖高新,9.0,-0.55,持有,1,-0.55,5.65
sh.600130,*ST波导,3.33,-0.3,持有,23,-4.58,73.07
sh.600126,杭钢股份,9.4,-1.88,观望,0,0.0,0.0
sh.600131,国网信通,17.76,0.17,观望,0,0.0,0.0
sh.600129,太极集团,21.51,-1.65,观望,0,0.0,0.0
sh.600136,ST明诚,1.99,-0.5,持有,23,-7.44,-18.28
sh.600132,重庆啤酒,55.33,0.22,持有,28,-4.12,4.34
sh.600135,乐凯胶片,7.8,-0.76,观望,0,0.0,0.0
sh.600141,兴发集团,21.33,-1.93,观望,0,0.0,0.0
sh.600138,中青旅,9.85,0.2,观望,0,0.0,0.0
sh.600143,金发科技,10.54,-0.57,观望,0,0.0,0.0
sh.600137,浪莎股份,18.81,0.43,持有,36,2.67,69.24
sh.600150,中国船舶,32.52,-1.36,观望,0,0.0,0.0
sh.600149,廊坊发展,5.51,0.0,观望,0,0.0,0.0
sh.600152,维科技术,7.02,-0.14,观望,0,0.0,0.0
sh.600148,长春一东,25.04,10.02,观望,0,0.0,0.0
sh.600151,航天机电,7.29,1.11,持有,1,1.11,-20.77
sh.600153,建发股份,10.65,1.24,观望,0,0.0,0.0
sh.600156,华升股份,6.79,-0.88,持有,13,-6.86,27.64
sh.600158,中体产业,8.44,0.36,持有,16,0.96,15.23
sh.600155,华创云信,7.04,0.72,观望,0,0.0,0.0
sh.600159,大龙地产,2.89,1.05,观望,0,0.0,0.0
sh.600160,巨化股份,27.55,-4.31,观望,0,0.0,0.0
sh.600157,永泰能源,1.41,0.0,观望,0,0.0,0.0
sh.600161,天坛生物,19.69,0.1,观望,0,0.0,0.0
sh.600163,中闽能源,5.46,-1.27,观望,0,0.0,0.0
sh.600162,香江控股,1.7,0.59,观望,0,0.0,0.0
sh.600165,ST宁科,4.41,-2.43,观望,0,0.0,0.0
sh.600166,福田汽车,2.77,-1.42,观望,0,0.0,0.0
sh.600168,武汉控股,4.77,0.42,观望,0,0.0,0.0
sh.600169,太原重工,2.49,-0.4,观望,0,0.0,0.0
sh.600167,联美控股,6.1,-0.65,卖出,44,0.83,38.05
sh.600171,上海贝岭,33.25,-0.81,观望,0,0.0,0.0
sh.600172,黄河旋风,4.35,-0.23,持有,26,1.4,52.94
sh.600170,上海建工,2.42,0.41,观望,0,0.0,0.0
sh.600173,卧龙地产,6.06,0.33,观望,0,0.0,0.0
sh.600177,雅戈尔,7.37,0.41,观望,0,0.0,0.0
sh.600179,安通控股,2.85,0.35,观望,0,0.0,0.0
sh.600176,中国巨石,12.27,-2.15,观望,0,0.0,0.0
sh.600178,东安动力,14.08,-0.35,观望,0,0.0,0.0
sh.600183,生益科技,32.83,2.43,观望,0,0.0,0.0
sh.600180,瑞茂通,4.53,-0.66,观望,0,0.0,0.0
sh.600184,光电股份,16.01,-0.5,观望,0,0.0,0.0
sh.600182,S佳通,16.5,-0.06,观望,0,0.0,0.0
sh.600185,格力地产,5.92,0.68,观望,0,0.0,0.0
sh.600186,莲花控股,6.03,-0.33,观望,0,0.0,0.0
sh.600188,兖矿能源,12.33,-0.32,卖出,19,1.15,4.79
sh.600189,泉阳泉,7.49,1.08,观望,0,0.0,0.0
sh.600187,国中水务,3.28,0.61,观望,0,0.0,0.0
sh.600190,*ST锦港,0.52,-1.89,持有,8,20.93,9.73
sh.600192,长城电工,11.4,-2.23,观望,0,0.0,0.0
sh.600193,*ST创兴,4.23,-4.51,持有,23,-8.24,27.22
sh.600195,中牧股份,7.33,-0.95,观望,0,0.0,0.0
sh.600196,复星医药,25.23,0.08,买入,0,0.0,-7.82
sh.600199,金种子酒,10.64,0.47,持有,1,0.47,-11.54
sh.600200,*ST苏吴,2.46,0.0,观望,0,0.0,0.0
sh.600191,华资实业,8.17,0.12,观望,0,0.0,0.0
sh.600198,大唐电信,8.38,-0.83,观望,0,0.0,0.0
sh.600197,伊力特,14.57,0.07,持有,1,0.07,-11.47
sh.600201,生物股份,7.98,-1.48,观望,0,0.0,0.0
sh.600207,安彩高科,4.92,-1.2,观望,0,0.0,0.0
sh.600203,福日电子,9.3,-1.27,观望,0,0.0,0.0
sh.600202,哈空调,5.73,-0.52,观望,0,0.0,0.0
sh.600206,有研新材,18.54,-2.37,持有,2,-2.11,-34.18
